Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;1;Portrait de M. D. V...... ;(pastel).;
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;2;Idem de M. C. J...., idem.;idem.;
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;3;L’Aumône, idem.;idem.;
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;4;Portrait de M. C...., idem.;idem.;
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;5;Idem de M. H....., idem.;idem.;
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;6;La Sorcière. idem.;;
M. ANDRÉ,; peintre, rue des Carmes, à Nancy.;7;Portrait de M....... ;(pastel.);
M. ANDRÉ JEUNE,;professeur de dessin de machines, 11, rue de la  Pépinière.;8;Locomolive ;(dessin au lavis).;
M. ANDRÉ JEUNE,;professeur de dessin de machines, 11, rue de la  Pépinière.;9;Machine, idem.;idem.;
M. ANDRÉ JEUNE,;professeur de dessin de machines, 11, rue de la  Pépinière.;10;Pont de Suresnes.;;
M. ANDRÉ JEUNE,;professeur de dessin de machines, 11, rue de la  Pépinière.;11;La Chapelle de Notre-de-Dame des flammes même de l’événement du 8 mai.;;
